,Neker cube test,Cambridge Face Memory Test,Inverted depth decsion
Neker cube test,1.0,-0.018423064792016844,-0.07559012936221186
Cambridge Face Memory Test,-0.018423064792016844,1.0,0.5246123679161039
Inverted depth decsion,-0.07559012936221186,0.5246123679161039,1.0
